City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
202,Nyimba,ZM,2022-11-24 17:48:27,-14.5566,30.8149,75.04,64,93,7.65,overcast clouds
203,Muros,ES,2022-11-24 17:48:27,42.7762,-9.0603,59.16,90,100,13.47,overcast clouds
204,Swellendam,ZA,2022-11-24 17:48:27,-34.0226,20.4417,59.92,61,92,7.72,overcast clouds
205,Pemba,MZ,2022-11-24 17:48:28,-12.974,40.5178,79.59,78,6,14.23,clear sky
206,Fonte Boa,BR,2022-11-24 17:48:28,-2.4959,-66.2662,84.78,60,85,5.75,overcast clouds
207,Lensk,RU,2022-11-24 17:48:29,60.7253,114.9278,-8.32,100,100,2.26,overcast clouds
208,Maniitsoq,GL,2022-11-24 17:48:29,65.4167,-52.9,24.4,52,94,5.3,overcast clouds
209,Coquimbo,CL,2022-11-24 17:47:14,-29.9533,-71.3436,65.93,68,20,13.8,few clouds
210,Sorgun,TR,2022-11-24 17:48:30,39.8101,35.186,49.95,69,90,15.84,overcast clouds
211,Puerto Ayora,EC,2022-11-24 17:48:31,-0.7393,-90.3518,76.96,87,71,3.0,broken clouds
212,Manokwari,ID,2022-11-24 17:48:32,-0.8667,134.0833,79.09,75,100,1.48,overcast clouds
213,Port Hardy,CA,2022-11-24 17:48:32,50.6996,-127.4199,46.58,100,100,19.57,light rain
214,Gelibolu,TR,2022-11-24 17:48:33,40.4103,26.6708,55.26,76,5,7.11,clear sky
215,Baykalovo,RU,2022-11-24 17:48:33,57.3981,63.7684,8.51,87,100,8.3,overcast clouds
216,Antofagasta,CL,2022-11-24 17:47:44,-23.65,-70.4,67.28,61,3,9.62,clear sky
217,Mar Del Plata,AR,2022-11-24 17:47:06,-38.0023,-57.5575,77.02,58,0,16.11,clear sky
218,Oni,GE,2022-11-24 17:48:34,42.5794,43.4425,51.28,51,47,5.37,scattered clouds
219,Palu,ID,2022-11-24 17:48:35,-0.8917,119.8707,75.94,94,100,2.95,overcast clouds
220,Shamary,RU,2022-11-24 17:48:35,57.3434,58.2199,16.48,88,100,9.89,overcast clouds
221,Tambopata,PE,2022-11-24 17:48:36,-12.7333,-69.1833,89.49,66,20,2.3,few clouds
222,Eberbach,DE,2022-11-24 17:48:36,49.4694,8.9928,47.19,90,20,1.99,few clouds
223,Butaritari,KI,2022-11-24 17:48:37,3.0707,172.7902,79.84,75,71,7.05,broken clouds
224,Humaita,BR,2022-11-24 17:49:37,-7.5061,-63.0208,80.55,79,99,0.63,overcast clouds
225,Jinchang,CN,2022-11-24 17:49:38,38.4953,102.1739,33.98,36,6,2.77,clear sky
226,Margate,GB,2022-11-24 17:47:44,51.3813,1.3862,55.31,85,98,11.01,overcast clouds
227,Guhagar,IN,2022-11-24 17:49:38,17.4842,73.1929,75.76,63,30,4.36,scattered clouds
228,Ruteng,ID,2022-11-24 17:49:39,-8.6136,120.4721,63.09,90,100,0.58,overcast clouds
