City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Bunia,CD,2022-11-21 17:16:13,1.5667,30.25,63.91,88,88,1.59
268,Mehamn,NO,2022-11-21 17:16:14,71.0357,27.8492,39.11,93,75,4.61
269,Norman Wells,CA,2022-11-21 17:16:14,65.282,-126.8329,19.44,93,75,6.91
270,Shingu,JP,2022-11-21 17:16:15,33.7333,135.9833,54.41,81,41,5.41
271,Waingapu,ID,2022-11-21 17:16:15,-9.6567,120.2641,80.51,80,84,1.41
272,Road Town,VG,2022-11-21 17:16:16,18.4167,-64.6167,87.89,79,40,12.66
273,Staryy Nadym,RU,2022-11-21 17:16:16,65.6118,72.6842,-2.99,94,100,20.33
274,Ancud,CL,2022-11-21 17:16:17,-41.8697,-73.8203,57.42,51,15,8.01
275,Clyde River,CA,2022-11-21 17:16:18,70.4692,-68.5914,-12.77,70,75,12.66
276,Shanghai,CN,2022-11-21 17:15:14,31.2222,121.4581,64.26,80,0,8.95
277,Isla Mujeres,MX,2022-11-21 17:16:18,21.2311,-86.731,86.16,81,100,5.88
278,Nguru,NG,2022-11-21 17:17:19,12.8791,10.4526,80.82,12,8,9.93
279,Qaanaaq,GL,2022-11-21 17:17:19,77.484,-69.3632,-8.99,81,100,2.68
280,Salinas,US,2022-11-21 17:17:20,36.6777,-121.6555,60.91,43,0,14.97
281,Richards Bay,ZA,2022-11-21 17:17:20,-28.783,32.0377,71.17,69,64,14.09
282,Hasaki,JP,2022-11-21 17:17:21,35.7333,140.8333,53.22,85,92,9.53
283,Mpophomeni,ZA,2022-11-21 17:17:21,-29.5682,30.1862,60.93,81,96,1.36
284,Freeport,US,2022-11-21 17:17:22,40.6576,-73.5832,40.01,46,0,16.11
285,Akureyri,IS,2022-11-21 17:17:22,65.6835,-18.0878,37.33,75,40,3.44
286,Lompoc,US,2022-11-21 17:13:57,34.6391,-120.4579,63.79,35,0,4.61
287,Adre,TD,2022-11-21 17:17:24,13.4667,22.2,75.7,18,5,3.62
288,Caravelas,BR,2022-11-21 17:17:25,-17.7125,-39.2481,73.54,86,100,7.29
289,South Sioux City,US,2022-11-21 17:17:25,42.4739,-96.4136,39.79,43,0,13.8
290,Sitka,US,2022-11-21 17:17:26,57.0531,-135.33,48.09,71,100,27.63
291,Broome,US,2022-11-21 17:17:27,42.2506,-75.833,36.7,47,0,11.99
